Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""Page_History page/Summary lines"", [""id"":""hospital_readmission""]), form_output[1])",Chrome 114.0.0.0,,,2023-07-11 17:45:45,2023-07-11 17:45:47,2.215s,PASSED
"verifyElementText(findTestObject(""Page_History page/Summary lines"", [""id"":""program""]), form_output[2])",Chrome 114.0.0.0,,,2023-07-11 17:45:47,2023-07-11 17:45:49,1.803s,PASSED
"verifyElementText(findTestObject(""Page_History page/Summary lines"", [""id"":""comment""]), form_output[4])",Chrome 114.0.0.0,,,2023-07-11 17:45:49,2023-07-11 17:45:51,2.051s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-11 17:45:51,2023-07-11 17:45:51,0.083s,PASSED
,,,,,,,
Test Cases/Verify user can book an appointment successfully,Chrome 114.0.0.0,,,2023-07-11 17:45:51,2023-07-11 17:47:16,1m - 24.877s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-11 17:45:51,2023-07-11 17:45:56,4.720s,PASSED
navigateToUrl(URL_homepage),Chrome 114.0.0.0,,,2023-07-11 17:45:56,2023-07-11 17:45:59,3.266s,PASSED
"click(findTestObject(""Page_Main page/Button_Make Appointment""))",Chrome 114.0.0.0,,,2023-07-11 17:45:59,2023-07-11 17:46:02,2.698s,PASSED
"logIn.LogIn.logIn(""John Doe"", ""ThisIsNotAPassword"")",Chrome 114.0.0.0,,,2023-07-11 17:46:02,2023-07-11 17:46:41,38.818s,PASSED
"form_output = makeAppointment.MakeAppointment.fillOutForm(facility, readmission, program, date, comment)",Chrome 114.0.0.0,Fill out form,,2023-07-11 17:46:41,2023-07-11 17:46:54,13.600s,PASSED
url = getUrl(),Chrome 114.0.0.0,,,2023-07-11 17:46:54,2023-07-11 17:46:54,0.008s,PASSED
"verifyEqual(url, URL_summary)",Chrome 114.0.0.0,Verify correct URL and summary information,,2023-07-11 17:46:54,2023-07-11 17:46:54,0.002s,PASSED
"verifyElementText(findTestObject(""Page_Summary/Sumamary lines"", [""id"":""facility""]), form_output[0])",Chrome 114.0.0.0,,,2023-07-11 17:46:54,2023-07-11 17:46:56,1.597s,PASSED
"verifyElementText(findTestObject(""Page_Summary/Sumamary lines"", [""id"":""hospital_readmission""]), form_output[1])",Chrome 114.0.0.0,,,2023-07-11 17:46:56,2023-07-11 17:46:58,2.016s,PASSED
"verifyElementText(findTestObject(""Page_Summary/Sumamary lines"", [""id"":""program""]), form_output[2])",Chrome 114.0.0.0,,,2023-07-11 17:46:58,2023-07-11 17:47:00,1.907s,PASSED
"verifyElementText(findTestObject(""Page_Summary/Sumamary lines"", [""id"":""visit_date""]), form_output[3])",Chrome 114.0.0.0,,,2023-07-11 17:47:00,2023-07-11 17:47:02,2.045s,PASSED
"verifyElementText(findTestObject(""Page_Summary/Sumamary lines"", [""id"":""comment""]), form_output[4])",Chrome 114.0.0.0,,,2023-07-11 17:47:02,2023-07-11 17:47:04,1.964s,PASSED
"click(findTestObject(""Navigation Bar/Icon_Menu""))",Chrome 114.0.0.0,Go to History page,,2023-07-11 17:47:04,2023-07-11 17:47:05,1.481s,PASSED
"click(findTestObject(""Navigation Bar/Buttons"", [""index"":""3""]))",Chrome 114.0.0.0,,,2023-07-11 17:47:05,2023-07-11 17:47:06,0.970s,PASSED
"verifyElementText(findTestObject(""Page_History page/Headings""), form_output[3])",Chrome 114.0.0.0,,,2023-07-11 17:47:06,2023-07-11 17:47:08,1.667s,PASSED
"verifyElementText(findTestObject(""Page_History page/Summary lines"", [""id"":""facility""]), form_output[0])",Chrome 114.0.0.0,,,2023-07-11 17:47:08,2023-07-11 17:47:10,1.993s,PASSED
"verifyElementText(findTestObject(""Page_History page/Summary lines"", [""id"":""hospital_readmission""]), form_output[1])",Chrome 114.0.0.0,,,2023-07-11 17:47:10,2023-07-11 17:47:12,2.047s,PASSED
"verifyElementText(findTestObject(""Page_History page/Summary lines"", [""id"":""program""]), form_output[2])",Chrome 114.0.0.0,,,2023-07-11 17:47:12,2023-07-11 17:47:14,2.125s,PASSED
"verifyElementText(findTestObject(""Page_History page/Summary lines"", [""id"":""comment""]), form_output[4])",Chrome 114.0.0.0,,,2023-07-11 17:47:14,2023-07-11 17:47:16,1.818s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-11 17:47:16,2023-07-11 17:47:16,0.086s,PASSED
